State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Rajasthan,Nagaur   ,56.6,72.7,39.9,98.5,98.7,58.6,26.9,36,3.6,69.3,99.2,11.1,83.7,31.3,46,15.6
Rajasthan,Pali    ,55.5,72,39.9,96.7,98.9,65.6,11.8,48.6,3.6,42.5,99.1,19.5,75.2,27,35.4,18.7
Rajasthan,Rajsamand    ,53.9,69.7,37.8,98,99.6,69.9,5.6,20.1,2.8,34.1,99.1,23,91.8,20.2,32.8,14.1
Rajasthan,Sawai Madhopur  ,55.9,75.8,34.1,93,97.6,35.9,5,12.5,1.5,24.9,98.4,23.8,82.6,14.4,25.2,17.4
Rajasthan,Sikar     ,70.5,87.2,52.8,99.3,100,78.8,30.3,36,7.9,77.7,99.7,8.5,77.3,49.4,54.4,22.4
Rajasthan,Sirohi    ,48.7,63.6,33.8,94,96.1,63.8,10.5,38.2,8.9,31.7,98.4,22,67.1,24.5,27.1,14.5
Rajasthan,Tonk    ,52.4,71.4,33.4,96.7,99.4,45.1,3.1,2.9,0.4,13.6,99.4,21.6,86.8,20.3,28.7,24.7
Rajasthan,Udaipur     ,45,58.5,30.3,98.9,98.3,37.2,2.5,3.2,2.1,10.6,99.3,32.3,94.5,11.7,16,10.6
Sikkim,East Sikkim,82.1,88.6,75.2,98.9,98.3,94.3,95,87.7,45.4,58.3,89.1,39,56.2,63,59.5,11.3
Sikkim,North Sikkim,78.1,84.1,71.1,99.3,97.9,88.4,88.1,96.3,20.1,37.6,96.6,50,70,48.5,53.8,9.3
Sikkim,South Sikkim,77.6,84.2,70.5,99.5,98.9,90.3,93.1,88,18.8,38.6,95.2,54.3,82.2,42,49,6.3
Sikkim,West Sikkim,71,77.2,64.5,99.8,98.7,89.6,88.4,91.6,13.9,27.1,97.2,55,80.1,36.4,43.3,5.5
Tamil Nadu,Chennai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamil Nadu,Coimbatore,70.3,79,61.2,98.4,98.3,88.1,26.4,98.5,35.3,20.9,86.3,10.6,15.5,61.6,30.8,27.7
Tamil Nadu,Cuddalore,76,86.2,66.3,99,100,92.3,21.8,91.8,13.1,23.9,94.1,9.4,35.2,63.3,37.9,19.8
Tamil Nadu,Dharmapuri,66.7,76.5,57.2,99.3,99,90.4,7.6,89.8,10.9,21.8,92.4,12.2,35.4,50.3,25.8,16.7
Tamil Nadu,Dindigul,69.3,79.9,59.1,100,100,85.8,14.5,93.7,19.9,23.4,90.8,10.1,24.1,45.4,26.8,15.1
Tamil Nadu,Erode,64.2,74.6,53.5,100,100,89.7,31.7,97.2,34.5,22.6,90.4,18.7,23.9,56,27.5,27.7
Tamil Nadu,Kancheepuram,71.8,81.8,62.1,100,100,94.8,13.2,96.5,13.2,37,93.4,19.8,29.6,71.6,32.1,23.3
Tamil Nadu,Kaniyakumari,90.4,92.7,88.1,100,98.8,95.9,91.3,59.8,24.4,47.2,87.8,17.8,11.9,70.7,40,18.2
Tamil Nadu,Karur,69.6,81,58.6,97.1,100,89.5,19.7,96,20.6,31.9,93.3,15.2,33.3,62,31.7,23.5
Tamil Nadu,Krishnagiri,67.6,77.3,57.6,99.1,99.9,92.1,15.4,91.5,13.7,32.6,90.3,12,43,54.3,32.5,27.8
Tamil Nadu,Madurai,69.8,81.1,58.3,94.6,96,85.3,11.6,95.3,10.7,34.6,91.4,28.2,44.6,59.6,26.6,13.5
Tamil Nadu,Nagapattinam,83.1,89.2,77.1,99.5,100,90.2,22.6,73.9,11.4,27.2,96.8,18.1,20.2,57.4,27.2,13.4
Tamil Nadu,Namakkal,69,79.2,59,98.6,99.8,90.4,29.7,87.8,34.1,24.3,88,10.8,25.9,57.3,35.9,28.5
Tamil Nadu,Perambalur,69.1,81.2,58.2,99.5,98.7,85.8,12,93.2,8.4,23.4,95.4,8.4,50.4,51.4,32.5,14.9
Tamil Nadu,Pudukottai,68.1,79.3,58.2,98.2,99.8,83.7,14.3,61.5,6.3,29.4,97,10.5,51.4,44.1,32,15.1
Tamil Nadu,Ramanathapuram,75,86,66,98.4,100,88.2,25.8,60.2,10.1,26.3,91.6,14.6,46,61.9,26.6,11.3
Tamil Nadu,Salem,61.4,73.1,49.5,99.9,98.7,88.2,13.4,95.1,18.1,20.9,93,6.7,29.7,48.1,28,21.7
Tamil Nadu,Sivaganga,76.4,86.4,67.5,100,100,90.1,29.1,72,14.3,29.2,89.7,19.6,43.9,65,32.4,20.1
Tamil Nadu,Thanjavur,81.7,90.2,73.7,99.6,100,88.6,31.6,92.3,19.1,26.7,90.9,15,30.8,65.4,40.2,24.9
Tamil Nadu,The Nilgiris,79.4,91,68.2,100,98.7,91.5,29.7,97.5,18.6,22.1,85.3,22.4,23.3,83.1,28.2,4.6
Tamil Nadu,Theni,75.3,86.7,63.8,100,100,86.6,20.9,98.5,19.4,36.4,85.1,24.8,21.4,58.5,19.1,6.5
Tamil Nadu,Thiruvallur,76.3,85.8,66.7,100,98.4,97.9,32.6,96.6,35.9,45.6,88.9,12.1,24,74,44.7,25
Tamil Nadu,Thiruvarur,79.6,86.9,73,100,99,87.1,27,88.8,12.8,21,94.2,17,30,49.6,28.7,16.2
Tamil Nadu,Thoothukudi,80.3,87.1,73.9,98.3,99,93.5,33,89.1,18,40.2,83,15.8,30.9,63.6,32.7,13.5
Tamil Nadu,Tiruchirappalli,75.1,83.7,67.3,99.9,99,86.8,23,96.3,14.4,27.5,91.7,15,34.5,57.1,33.3,17.9
Tamil Nadu,Tirunelveli,80.8,88.1,74.5,98.9,100,93.6,27,97,14.3,41.9,88.4,20.2,29.2,63.6,22.2,15
Tamil Nadu,Tiruvannamalai,71.6,81.2,62.5,99.3,98.9,94.5,12.3,93.8,11.3,36.9,98.1,11.2,49.6,62.9,29.9,16.4
Tamil Nadu,Vellore,77.1,87.1,67.7,100,99.2,88.5,19.3,97.7,19.5,45.3,94.7,27.6,32.8,62.4,25.5,19.2
Tamil Nadu,Viluppuram,68,77.6,58.4,98.6,99.1,92.4,7.5,91.2,6.7,24.4,96.9,13.3,44,47.4,22.9,12.5
Tamil Nadu,Virudhunagar,69.6,80.4,59.1,99.2,100,90.4,14.5,91,15.3,44.1,84.8,29.2,32.9,69.6,26.1,13.5
Tripura,Dhalai,72.2,80.8,63.5,98.2,99.8,56.9,90.9,23.7,3.3,2.9,96.1,51.7,32.1,29.2,13,4.4
Tripura,North Tripura,82.3,88.8,75.8,98.7,99.6,60.3,93,28.7,5.3,9.7,95.7,42.3,33.5,32.9,18.5,6.2
Tripura,South Tripura,75.2,83.2,66.9,90,99.7,62.1,90,28.3,2.6,2.1,98.1,47.9,41,34.1,18.3,5.9
Tripura,West Tripura,79.1,85.2,73.3,99.5,99.1,72,96.6,23.3,7,3.2,97.9,41.2,37.6,49.7,23.4,8.3
Uttar Pradesh,Agra,69,84.6,59.4,97.1,97.2,66.2,11.6,3.1,2.4,18,97.7,5.9,66.6,38.1,30.4,19.5
Uttar Pradesh,Aligarh,70.2,85.8,55,99.3,98.7,46.7,12.2,0.7,3.6,17.8,98.1,18.5,73,30.6,30.5,17.7
Uttar Pradesh,Allahabad,64,79,49,98.8,99.6,31,6.6,3.1,3,17.1,99.4,19.1,66.8,21,22.4,12.2
Uttar Pradesh,Ambedkar Nagar,67.3,79.4,56.2,99.8,98.6,25.9,6.9,0.2,1.4,6.9,99.1,43.1,83,15.1,28.2,16.2
Uttar Pradesh,Auraiya,76.1,85.1,65.7,97.5,99.4,33.1,11.4,2.7,2.8,11.2,98.6,47.6,77.6,11.6,18.6,7.6
Uttar Pradesh,Azamgarh,66.9,80.3,55.9,99.8,99.3,42.6,11.2,0.7,3.9,12.3,99.7,39.6,86.9,20.4,36.7,15.8
Uttar Pradesh,Baghpat,70.3,82.3,57.6,99.2,98.6,58.4,49.7,1.9,7.1,30.1,98.6,7.6,56.8,47.9,37,20.8
Uttar Pradesh,Bahraich,39.8,51.8,27.7,89.8,90.9,8.9,5.8,1,1.8,9.5,99.4,45,71.9,6.3,9.7,4.4
Uttar Pradesh,Ballia,63.4,76.3,50.9,99.6,99.3,30.4,11.1,1.4,3.3,11.6,99,41.5,70,17.2,29.3,7.4
Uttar Pradesh,Balrampur,38.2,52.4,25.1,96.2,96.5,15,7.4,0.5,1,12.5,99,29.7,77.8,5.8,24.5,9.9
Uttar Pradesh,Banda,58.5,71.6,43.9,98.7,99.2,30,19.2,2.6,1.3,7.8,99.4,33.3,74.4,10.1,17.8,6.8
Uttar Pradesh,Barabanki,53.3,65.2,40.5,96.6,98,16.9,11.6,1.8,4.9,10.8,99.3,38.2,73.8,18.4,19.4,15.1
Uttar Pradesh,Bareily,57,69.5,42.9,96.6,97.3,16.5,34.1,1,4.7,12.7,98.3,30,75.2,21.8,19.4,12.8
Uttar Pradesh,Basti,60.3,74.6,47.1,98.4,98.7,29.7,7.8,0.4,3,23.3,99.7,48.2,81.8,17.1,33,14.2
Uttar Pradesh,Bijnor,66.1,76.4,55.8,98.9,97.6,32.9,41.3,3.7,5.5,16.6,98.3,4.4,54.5,31.5,26.9,17.9
Uttar Pradesh,Budaun,49.2,63.1,32.9,93.1,96.3,11.9,16,2.1,1.3,6.3,99.5,18,85.8,9.1,15.1,9.9
Uttar Pradesh,Bulandshahar,68.2,85.5,50.3,99.6,98.5,33.6,20.5,1.2,4.3,21,97.7,8.2,69,29.3,28.3,16.1
Uttar Pradesh,Chandauli,67.3,80.2,54.1,98.3,99.5,43,13.8,6.3,5.5,13.2,99.3,38.9,63.3,31,23.7,13
Uttar Pradesh,Chitrakoot,58.7,71.1,45.6,97.7,97.9,30,6.9,2,1.5,8.6,99.3,33.9,80.9,11.3,15.4,6.9
Uttar Pradesh,Deoria,63,77.8,49,99.8,99.2,31.8,12.9,1.1,4.3,19,99.2,41.7,82.2,21.2,36.8,12.8
Uttar Pradesh,Etah,67.7,80.6,53.4,98.2,99.5,17.6,6.5,3.8,1.9,14,98.9,23.1,85.2,16.3,22.8,11.6
Uttar Pradesh,Etawah,76.8,87,65.5,99.4,99.5,27.2,7.4,1.4,2.4,19.2,99.2,29.1,85.6,15.9,23.1,13.3
Uttar Pradesh,Faizabad,59.2,72,47.3,98.7,98.8,34.4,12.8,1.1,6.1,14.5,38.6,71.8,23.4,99.1,17.6,13.8
Uttar Pradesh,Farrukhabad,63.9,75.7,50.8,97.9,99.5,19.8,18.9,0.5,1.7,10.1,98.6,31.8,77.3,11.8,15.3,10.6
Uttar Pradesh,Fatehpur,60.7,72.5,48.5,98.2,97.8,16.2,11.4,1.3,1.2,13,99.1,19.4,80.5,12,19.9,9
Uttar Pradesh,Firozabad,72.2,84.9,58.6,98.7,99.4,35.1,5.3,1.2,1.5,12.9,98.6,26.7,81.2,16.3,23.3,14.2
Uttar Pradesh,G B Nagar,76.2,89.1,61.9,98.7,98.3,72.7,33.8,3.1,9.6,36.4,93.2,15.1,56.3,51.7,43.1,30.3
Uttar Pradesh,Ghaziabad,72.4,84.3,59.1,98.6,99,78.5,67.7,2.7,23.8,47.6,93.8,10.8,44.3,48.9,41.2,23.1
Uttar Pradesh,Ghazipur,66.8,80.7,53.3,98.7,98.5,38.5,11,4.4,4.8,10.3,99.4,34.3,80.7,24.1,31.6,14.5
Uttar Pradesh,Gonda,49.2,63.6,34.9,98.3,98.7,16.4,4.3,0.6,2.1,12.3,98.9,27.1,85,10,23.8,10.5
Uttar Pradesh,Gorakhpur,65.5,80,52,99,97.7,35.4,12.3,2.6,8.4,20.6,98.4,40.9,72.5,25.3,33.4,14.1
Uttar Pradesh,Hamirpur,66.3,79.1,51.9,99.1,99,32,22.8,7,1.5,17.1,99,39.8,78.8,17.3,21.2,13.1
Uttar Pradesh,Hardoi,63,75,49.4,97.3,97.8,5.9,8.9,3.3,1.9,5.8,97.2,29,81,10.8,14.2,8.7
Uttar Pradesh,Hathras,72.1,86.6,55.9,98.1,99.1,45.9,8.6,1.6,2.6,18.8,97.8,18.5,66.1,29.1,27.2,15.4
Uttar Pradesh,Jalaun,71.1,83,57.5,99.4,100,44,18.4,5.1,0.9,19.1,99.1,26.3,76.7,16.8,23.2,13.9
Uttar Pradesh,Jaunpur,67.6,82.2,55.2,99.4,98.9,44.9,12.2,1.4,4,30.1,99,35,78.4,26.6,33.3,15.1
Uttar Pradesh,Jhansi,69,83.2,53.4,100,100,50.4,17.5,1.5,4.6,21,98,34.2,81.2,26,22.2,18.1
Uttar Pradesh,JP Nagar,65.2,78.4,50.9,98.9,98.1,24.2,28.4,3.6,2.1,9.2,98.8,13.2,67.2,30.2,26,18.6
Uttar Pradesh,Kannauj,74,84.5,62.5,97.8,98.1,21.6,13.3,2.9,1.6,15.5,98.6,29.2,83.5,15.8,18.4,11.2
Uttar Pradesh,Kanpur Dehat,73.1,83.5,61,98.6,99.1,30,23.8,4,4.8,24.5,97.9,40.2,67.2,17.8,21.8,11.1
Uttar Pradesh,Kanpur Nagar,73.6,83.7,62.4,99.1,100,21,15.5,2.2,1.6,13.7,99.3,31,68.5,17.1,18.3,11.8
Uttar Pradesh,Kaushambi,55.7,70.5,41.6,97.5,97.8,25.2,13.6,4.6,3.2,17.4,98.7,24.3,77.1,18.5,16.4,8.4
Uttar Pradesh,Kheri,57,68.8,44.1,95.8,96.2,13.6,12.2,1.5,2.7,9.2,99,39.5,67.5,12.5,12.4,9.5
Uttar Pradesh,Kushinagar,54.4,68.9,41,99.6,99.6,23.2,11.1,0.7,3.6,16.2,99.8,45.8,82.4,17.4,26.2,11.1
Uttar Pradesh,Lalitpur,61.3,75,46.4,98.1,97.5,18.1,6.8,1.1,1.3,8.6,99.4,25.3,84.9,11.4,13.9,15.2
Uttar Pradesh,Lucknow,61.8,70.5,52.3,99.4,96.9,34.5,15.3,5,5.9,14.3,98.7,24.9,66.2,22.7,16.3,13.5
Uttar Pradesh,Mahoba,58.4,71,44.6,98,98.7,15.7,7.6,2.5,0.6,7.5,99.5,19.1,86.9,8.3,15.4,12.8
Uttar Pradesh,Mahrajganj,52.1,68.3,37.5,99.7,99,19.7,9.8,1.3,3,14.7,99.3,41.8,87.5,17.4,22,9
Uttar Pradesh,Mainpuri,76.8,87,65.5,99.4,99.5,27.2,7.4,1.4,2.4,19.2,99.2,29.1,85.6,15.9,23.1,13.3
Uttar Pradesh,Mathura,69.5,84.6,52.5,97.6,99,71.6,10.9,4,1.2,31.5,97.6,23,61.8,33.7,32.1,17.2
Uttar Pradesh,Mau,68.3,81.6,56.7,99.6,99.4,48.9,12.9,0.6,3.1,10.5,99.6,43.3,82.2,23.9,36,12.5
Uttar Pradesh,Meerut,73.4,84,62.3,99.7,95.7,68.1,52.1,3.8,6.5,26.9,97.6,8.3,49.4,45.4,37.6,20.6
Uttar Pradesh,Mirzapur,65.2,78,52.4,98.5,99.2,42.6,16.1,0,4.6,16.8,99.1,38.7,71.5,28.7,25.4,15.1
Uttar Pradesh,Moradabad,57.6,70.7,43.8,98.2,97.6,25.3,42.6,1,3.5,13.8,99,16.8,66.6,21.1,20.8,13.8
Uttar Pradesh,Muzaffarnagar,64.3,77,51.2,97.3,99.1,58.9,48.6,1.7,8.2,22.5,97.5,12.2,47.2,41.2,39,19.6
Uttar Pradesh,Pilibhit,63.6,76.4,49.4,97.6,98.3,17.3,24.9,2.7,4,9.3,97.7,22.1,71.1,23.1,18.9,15.1
Uttar Pradesh,Pratapgarh,63.5,79,51,97.3,98.2,23.3,6.2,0.4,2.3,20.5,99.6,33.9,80.3,18.6,28.1,14.4
Uttar Pradesh,Rae Bareli,60.9,76.2,46.8,95.3,97.3,18.4,6,6.3,2.6,12.4,99.1,43,73.4,14.8,15.8,11
Uttar Pradesh,Rampur,53.9,64.6,42.6,97.7,98,23.1,55.6,1.1,2.7,10.4,97.7,18.3,64.7,24.4,22.3,14.5
Uttar Pradesh,Saharanpur,65.2,76.1,54,97.2,97.9,67.1,24.8,12.2,2.9,13.2,98.6,19.3,47.1,44.2,29.3,21.8
Uttar Pradesh,Sant Kabir Nagar,60,75.1,46.6,98.9,99.2,23.4,7.2,0.9,2.9,10.3,98.5,50.9,73.6,14.1,24.2,9
Uttar Pradesh,Sant Ravidas Nagar,66,81.9,50.8,99.5,98.4,46,9.1,6.2,5.9,21.9,99.3,33.9,62.2,31.7,29,14.6
Uttar Pradesh,Shahjahanpur,58.2,70.4,44.6,97.1,96.3,10.9,20,1.8,2.8,8.4,97.8,18.9,69.6,13,14.9,10.1
Uttar Pradesh,Shrawasti,42,54.4,29.3,95.9,97,8.9,7.4,0.6,2.1,11.4,99.4,34.4,79,5.7,16.1,8.3
Uttar Pradesh,Siddharthnagar,53.4,68.9,39.3,97.6,98,17.8,4.7,2.8,2.8,9.9,99.3,45.7,78.3,12.3,26,11.3
Uttar Pradesh,Sitapur,52.9,63.7,41.2,95.3,96.2,8.7,9.4,0.6,2.1,11.3,99.4,34.8,77.3,9.3,13.1,9.1
Uttar Pradesh,Sonbhadra,59.4,72.8,45.2,97.8,97.9,23.9,7.2,0.2,1.7,5.2,99.5,44.3,73.9,15.9,18.4,9.2
Uttar Pradesh,Sultanpur,63.3,78.6,50.5,99,98.2,33.8,10.8,1.4,4.2,17.3,99.2,51.3,75.3,17.4,27.1,13.3
Uttar Pradesh,Unnao,62.3,74.3,49,97.2,97.8,11.2,10.9,0.7,2.3,11.3,99.1,41.3,80.2,11.2,16.3,9.5
Uttar Pradesh,Varanasi,69.4,82.8,55.9,99.5,99.8,61,23.3,7.8,12.7,26.5,99.2,29.1,67.8,44.5,37.9,22.3
Uttarakhand,Almora,80.6,93.1,67.3,99.7,99.6,68.3,46,69.5,8.4,34.7,98.6,36,93.4,42.7,35.1,1.9
Uttarakhand,Bageshwar,80.6,92.9,67.7,99.4,99.8,79.4,49.1,68.4,12.3,50.9,97,39.8,90.1,43.5,41,2.7
Uttarakhand,Chamoli,81.8,93.2,69.1,99.7,99.7,79.5,37.5,79.1,8.2,60.4,98.9,37.7,92,45,34.8,1.8
Uttarakhand,Champawat,74.7,89.2,59.6,100,100,58.6,32.2,67.4,7,21.6,98.4,55.6,88.1,26.4,24.9,3.4
Uttarakhand,Dehradun,73.3,82.7,62.8,99.6,99.8,92.2,51.8,71.5,18,54.1,98.1,39.9,72.4,61.3,52.7,26.9
Uttarakhand,Hardwar,69,78.5,58.5,98.8,99.4,89,40.5,21.8,7,52.1,99,27.1,51.4,54,42.9,25.4
Uttarakhand,Nainital,82.4,90.8,72.9,100,99.7,82.5,65.3,61.8,24.1,49.3,96.8,31.1,71.2,58.3,52.2,18.5
Uttarakhand,Pauri Garhwal,80.7,93.2,67.8,100,100,88.2,40.2,79.6,8.8,42.6,98.4,31.3,90.4,58.8,35.9,2.1
Uttarakhand,Pithoragarh,81.6,91.8,70.7,99.6,100,71.5,42.7,75.2,17.4,72.6,98.7,49.9,90.2,39.5,31.1,4.2
Uttarakhand,Rudraprayag,83.5,94.4,71.9,100,100,89.5,51.3,86.5,13.5,70.8,99,38.3,91.4,52.7,42.6,2.6
Uttarakhand,Tehri Garhwal,75.9,89.8,61.4,100,99.7,81.9,49.6,68.7,15.8,51.9,98.5,41,91.9,48.8,47.4,4.9
Uttarakhand,Udham Singh Nagar,71.6,79.9,62.4,98.9,98.9,88.3,55.5,29.4,19,46.7,97.1,23,42.1,63,49,25
Uttarakhand,Uttarkashi,73,87.4,57.6,99.8,100,77.4,28.7,71.9,6.1,40.8,98.9,36,89,34.8,23.6,1.4
West Bengal,Bankura,62.7,74.7,50.6,95.5,96.9,36.7,11.8,5,1.4,14.4,97.9,30,62.8,16.8,13,6.7
West Bengal,Barddhaman,70.8,78.6,63.2,96.4,96.7,51.4,52.2,4.5,1.1,16.9,99.1,14.4,43.6,26.4,17.2,7.4
West Bengal,Birbhum,64,71.6,56.2,97.5,96.6,39.3,19.6,5.3,1.6,12.7,96.8,26.8,45.5,21.2,12.8,5.4
West Bengal,Dakshin Dinajpurr,67.9,76,59.8,98.1,98.4,32.2,25.8,12.7,1,4.2,98.5,32.1,55.7,16.4,12.2,2.1
West Bengal,Darjiling,77.6,86,69.2,99.4,99.8,79.5,72.3,31.6,22.3,44,95.9,29.3,32,58.7,41.3,8
West Bengal,Haora,78,84,72.2,99,98.2,61.5,74.8,13.4,5.7,38.9,97,37.5,27.9,36.6,29.2,5.3
West Bengal,Hugli,76.4,83.4,69.5,97.4,97.3,74.7,72.6,9.6,6.5,30,99.2,26.8,45.5,41.9,28.2,12.5
West Bengal,Jalpaiguri,69.1,77.2,61.1,96.9,99.1,42.4,49.3,20.4,5.8,26.4,88.2,34.9,30.3,30.8,16.9,7.8
West Bengal,Koch Bihar,69.4,77.8,60.9,96.9,99.3,21.1,66.8,8,2,3.9,99.2,43.4,47.9,15.3,11.2,3.1
West Bengal,Kolkata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Bengal,Malda,61.7,70.2,53.8,96.4,94.9,30.2,25.5,10.1,1.1,13.5,97.6,25.6,44.9,12.2,12.2,3.1
West Bengal,Murshidabad,67.7,71.6,64.1,98.4,96.5,43.3,45.4,7.4,1.7,19.5,98,20.8,40,17.8,14.4,4.5
West Bengal,Nadia,69.8,76,64,99.8,97.8,40.7,79.6,6.4,2.3,18,95.7,27.1,29.3,20.5,18.1,3.4
West Bengal,North 24 Parganas,76.6,82.9,70.3,99.2,99.1,55.2,90.4,11.1,5.6,29.3,98.6,18.5,38.5,22.1,22.8,5.9
West Bengal,Paschim Medinipur ,68.6,79,58,99,97.2,43.7,42.7,7.3,1.5,8.4,98.5,40.6,68.5,17.2,18.6,7.8
West Bengal,Purba Medinipur ,79.6,87.4,71.8,99.8,99.4,43.4,94.2,6.3,1.8,13.3,98.4,39,56.6,18.5,19.9,4.9
West Bengal,Puruliya,59.8,75.7,44,94.2,98,21.6,2.6,5,0.6,10,99,27.9,74.7,10.7,10.9,6.3
West Bengal,South 24 Parganas,77.3,85.7,68.7,98.6,97.1,47.8,66.1,12.4,3.7,21.1,98.9,32.4,34.7,27.6,22.7,3.8
West Bengal,Uttar Dinajpur,56.5,66.2,47.2,98.6,96.9,30.5,20.3,0.5,0.7,9.6,98.5,40,51.6,13.1,12.6,4.3
